"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000204410",18.5822238388939,-0.220353155266153,0.279320671561928,0.140383779104145,0.363917596347904,"MSH5","4439"
"ENSG00000151665",146.89707854138,0.173307315198623,0.137507487626116,0.14038531818647,0.363917596347904,"PIGF","5281"
"ENSG00000166704",172.091338836989,-0.190844370199626,0.160346808637056,0.140470014259966,0.364078571387117,"ZNF606","80095"
"ENSG00000167930",945.457361838266,0.157102960788126,0.120127613500022,0.140536397400112,0.364189958698277,"FAM234A","83986"
"ENSG00000121236",101.37699232888,-0.183850324932175,0.150711127367492,0.140577502139351,0.364189958698277,"TRIM6","117854"
"ENSG00000137463",115.486308325657,0.209889775692607,0.295855606772028,0.140580805235217,0.364189958698277,"MGARP","84709"
"ENSG00000233476",63860.3121792717,-0.157814836854086,0.121847757735297,0.140614861198237,0.364219618772475,NA,NA
"ENSG00000109107",284.919062960281,-0.216176019482516,0.204671379758683,0.140704916575089,0.364394295280703,"ALDOC","230"
"ENSG00000155016",1219.078034438,0.182246528782342,0.148358712583661,0.140739475071434,0.364425214219845,"CYP2U1","113612"
"ENSG00000250687",22.8541762224527,-0.212672570011561,0.29267206134186,0.140782480504188,0.36442660667843,"NAIPP1","728535"
"ENSG00000152402",75.127797457309,-0.135942453377115,0.292231056662076,0.140790450364151,0.36442660667843,"GUCY1A2","2977"
"ENSG00000035141",352.31934470781,0.158230943696527,0.122002201830468,0.140826212155508,0.36442660667843,"FAM136A","84908"
"ENSG00000101230",50.5628953133833,0.162604074816396,0.300766717203053,0.140830491786972,0.36442660667843,"ISM1","140862"
"ENSG00000073910",1400.50839331929,0.224154222357294,0.274992454176019,0.140874702111912,0.364482467596758,"FRY","10129"
"ENSG00000055917",2278.28409555549,0.122037848835213,0.0882766531996292,0.140914458944596,0.364513792411549,"PUM2","23369"
"ENSG00000112619",143.551187437185,-0.222445798157352,0.269959070923141,0.140932059644438,0.364513792411549,"PRPH2","5961"
"ENSG00000100601",157.515846272503,0.19926454087606,0.17318672996523,0.140975607137394,0.364567898329141,"ALKBH1","8846"
"ENSG00000159086",622.191895268637,-0.182820100437193,0.147494061063277,0.141011927463843,0.364603300171719,"PAXBP1","94104"
"ENSG00000127922",714.651188936127,0.116958484777033,0.0841269709313094,0.141182829203679,0.364986611248472,"SEM1","7979"
"ENSG00000161835",181.811415716644,-0.221225411027673,0.235382620564394,0.141334880694044,0.36532107538292,"TAMALIN","160622"
"ENSG00000173209",1259.06682448545,0.117558128068894,0.0848040328680586,0.141402171919715,0.365436379820103,NA,NA
"ENSG00000152475",32.9730791312178,-0.224334290219705,0.241621907403445,0.141552323100703,0.365765754206163,"ZNF837","116412"
"ENSG00000213923",2453.34348962535,0.126465452843614,0.092134953122244,0.141598847667892,0.365778678165826,"CSNK1E","1454"
"ENSG00000143553",497.64906016084,-0.118526331652136,0.0856700072089711,0.141602732029064,0.365778678165826,"SNAPIN","23557"
"ENSG00000155592",191.129314592366,-0.155213115806865,0.118843205300015,0.141752482956102,0.366073560758436,"ZKSCAN2","342357"
