"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000152583",997.961168152844,4.5793888861616,0.211375500485723,2.6079671782748e-105,4.20169592091854e-101,"SPARCL1","8404"
"ENSG00000148175",11206.9334791584,1.43882743375238,0.0791508578818586,4.61834179723853e-75,3.7203052347655e-71,"STOM","2040"
"ENSG00000134686",2741.36146833917,1.37314761364105,0.0863251885043024,4.00302496355498e-58,2.14975783959448e-54,"PHC2","1912"
"ENSG00000179094",777.098912422347,3.15540199940785,0.200603690155318,5.41714231853985e-57,2.18188949734989e-53,"PER1","5187"
"ENSG00000125148",3659.69602097282,2.18106700670505,0.144493853952915,9.86470578120294e-53,3.17860549681921e-49,"MT2A","4502"
"ENSG00000120129",3411.96609646938,2.91532872346135,0.202065713137585,1.37585921040875e-48,3.69441128981589e-45,"DUSP1","1843"
"ENSG00000189221",2343.57334924977,3.27058597381742,0.228664690041848,1.19619872610503e-47,2.75313681089687e-44,"MAOA","4128"
"ENSG00000178695",2657.21826213722,-2.47896576441853,0.177301519287764,1.15849335553543e-45,2.33306080637891e-42,"KCTD12","115207"
"ENSG00000109906",385.200712986974,7.09783998147777,0.512903320002482,4.13061087905386e-45,7.39425243027075e-42,"ZBTB16","7704"
"ENSG00000101347",12712.9456127058,3.82468509248949,0.282313404582586,9.38702179691498e-43,1.51234308170097e-39,"SAMHD1","25939"
"ENSG00000162614",5399.1359732014,2.00473796856015,0.150554244112717,1.13044627833233e-41,1.65569272638292e-38,"NEXN","91624"
"ENSG00000196517",230.282462332708,-2.19685805793656,0.164806724214154,1.2703708605534e-41,1.70557874453132e-38,"SLC6A9","6536"
"ENSG00000116584",2255.80966137931,-1.00815202227914,0.0764377537936383,8.92531264188574e-41,1.10612086133401e-37,"ARHGEF2","9181"
"ENSG00000096060",2566.32135377626,3.89201866488097,0.300802706709605,1.69099314679787e-39,1.94597075629004e-36,"FKBP5","2289"
"ENSG00000162616",1469.49979755538,1.49904522683374,0.120797077915133,1.53053988433461e-36,1.64390187176766e-33,"DNAJB4","11080"
"ENSG00000183044",499.34845843482,1.14072839617304,0.0918814913294399,1.64687939106767e-36,1.6583046168432e-33,"ABAT","18"
"ENSG00000166741",7439.86238571723,2.12909664079085,0.176179702767865,6.56100082478756e-35,6.21789907577367e-32,"NNMT","4837"
"ENSG00000144369",1306.44025860627,-1.33696955021166,0.112400294782828,8.4860733768129e-34,7.59550712076848e-31,"FAM171B","165215"
"ENSG00000164125",5604.09169009112,1.10631096065689,0.0942735091641824,6.65713548123611e-33,5.64490051253658e-30,"GASK1B","51313"
"ENSG00000108821",101233.481481555,-1.27779908600697,0.111355044079582,5.42224834178655e-32,4.36789215172616e-29,"COL1A1","1277"
"ENSG00000198624",2059.02790703009,2.84604872459979,0.254050590888585,2.00679319115756e-30,1.53959262393997e-27,"CCDC69","26112"
"ENSG00000077684",1572.71026272547,1.18602109584584,0.106160588888327,4.18487536488765e-30,3.06466031835022e-27,"JADE1","79960"
"ENSG00000123562",5047.41389431327,1.01041068480097,0.090972302270455,1.01234616981838e-29,7.09126484432342e-27,"MORF4L2","9643"
"ENSG00000181467",632.360918640644,-1.25695398359987,0.114334683359614,2.86372660420672e-29,1.9223958050156e-26,"RAP2B","5912"
"ENSG00000164647",1923.10027992604,1.52924311325022,0.139491505646899,3.62860581227167e-29,2.33841872966035e-26,"STEAP1","26872"
"ENSG00000114098",1011.49205093171,1.33238354538469,0.122246554593275,7.96683937853166e-29,4.93668266259706e-26,"ARMC8","25852"
"ENSG00000135821",19625.2222327263,2.95018593225358,0.271881493546621,9.01264485823426e-29,5.37787856707453e-26,"GLUL","2752"
"ENSG00000177666",1703.40729709041,1.08472127262357,0.100019425305038,1.70930149331533e-28,9.83519869957261e-26,"PNPLA2","57104"
"ENSG00000139132",1224.56793655509,2.21327271106242,0.20662677664233,4.98368730597985e-28,2.76869607540143e-25,"FGD4","121512"
"ENSG00000163884",561.414367977579,4.50143157035446,0.423974149800573,1.17391117761324e-27,6.11438519487809e-25,"KLF15","28999"
"ENSG00000162692",509.657746953338,-3.55112908657497,0.33390056012972,1.17650016163628e-27,6.11438519487809e-25,"VCAM1","7412"
"ENSG00000183160",2994.77090979276,-1.1546946125375,0.108347247195431,1.2215567583824e-27,6.15015654196836e-25,"TMEM119","338773"
"ENSG00000139289",1980.33778733205,-0.979614795034364,0.0930393596939796,5.63102063323097e-27,2.74913252793891e-24,"PHLDA1","22822"
"ENSG00000166482",26408.0809362613,-0.952765293567388,0.0910364452859001,1.07907418292143e-26,5.11322475324914e-24,"MFAP4","4239"
"ENSG00000163697",2269.39270679434,1.05964970049819,0.101566998558806,1.41293306196584e-26,6.50393273180906e-24,"APBB2","323"
"ENSG00000103502",3324.60202105803,0.80661766232903,0.077235010925196,1.71499891130713e-26,7.67509651668587e-24,"CDIPT","10423"
"ENSG00000116285",3235.76308757943,2.39372276244062,0.231372582210028,2.45054761111506e-26,1.06704790709932e-23,"ERRFI1","54206"
"ENSG00000145777",152.810200794427,-2.73991622646811,0.266857321364304,4.60598320191822e-26,1.95281566752906e-23,"TSLP","85480"
"ENSG00000165995",495.567498008168,3.23738616820682,0.316159357553354,6.62553770098546e-26,2.7370266128353e-23,"CACNB2","783"
"ENSG00000163491",160.677723573361,-2.42966741434581,0.241641576710397,3.64678822524736e-25,1.46883512742401e-22,"NEK10","152110"
"ENSG00000103196",3085.02220810875,2.64723221353466,0.264877003967092,8.87494819319135e-25,3.48742171562209e-22,"CRISPLD2","83716"
"ENSG00000119138",1685.06206454709,2.06762432262136,0.206912764776032,9.29051385989586e-25,3.56379687611386e-22,"KLF9","687"
"ENSG00000185950",1976.83272917511,2.11856026176638,0.213013478595781,1.4776787417791e-24,5.53648423460538e-22,"IRS2","8660"
"ENSG00000158246",70.3669582233092,2.28535958911366,0.232230505718284,5.9172208242455e-24,2.16664419771407e-21,"TENT5B","115572"
"ENSG00000157150",167.720474430608,2.87141905303267,0.29369695858551,8.81842013631931e-24,3.15719037369423e-21,"TIMP4","7079"
"ENSG00000132356",2387.33150723785,0.847038326848511,0.0863339843429698,1.01108226325032e-23,3.54120572678822e-21,"PRKAA1","5562"
"ENSG00000197043",14141.00859911,0.900467750792782,0.0920409773456994,1.10320296926757e-23,3.77131536800565e-21,"ANXA6","309"
"ENSG00000141401",628.209010546647,2.30562167408107,0.236731545745535,1.12359963791367e-23,3.77131536800565e-21,"IMPA2","3613"
"ENSG00000133142",3059.99655459545,1.51472563048602,0.155594105954345,1.36469243000817e-23,4.48705300813502e-21,"TCEAL4","79921"
"ENSG00000164484",818.792165313644,-1.19479095261454,0.123133294305867,2.07048155690031e-23,6.67150567264419e-21,"TMEM200A","114801"
"ENSG00000172986",758.359345202166,-1.54259811582704,0.159676493563214,2.45578833665703e-23,7.75788350821205e-21,"GXYLT2","727936"
"ENSG00000211445",12298.1966308959,3.66186170500991,0.386700921058179,1.51078399265281e-22,4.68081555877488e-20,"GPX3","2878"
"ENSG00000181061",2424.12333639201,1.18248819909284,0.125712537820728,3.77661371324145e-22,1.14801931196289e-19,"HIGD1A","25994"
"ENSG00000132970",1324.61475451187,1.07711895890337,0.114855125500925,5.37363271971662e-22,1.60323327309916e-19,"WASF3","10810"
"ENSG00000161647",166.529593810525,1.53170035360954,0.164561494259431,9.06052436313803e-22,2.65407469117303e-19,"MPP3","4356"
"ENSG00000157613",2789.00447062021,-0.963980633826861,0.103566578771731,1.10445839251137e-21,3.17748735031261e-19,"CREB3L1","90993"
"ENSG00000157110",2974.76386908785,0.87290911227764,0.0936562073707833,1.13062573009718e-21,3.19570370835011e-19,"RBPMS","11030"
"ENSG00000131389",742.538013824024,-2.07639368439159,0.225892407973925,2.03468609231896e-21,5.65186683333635e-19,"SLC6A6","6533"
"ENSG00000221869",1965.63590516122,1.46360972560489,0.159392574704776,2.74969364385975e-21,7.50852784681771e-19,"CEBPD","1052"
"ENSG00000227051",4626.82376170284,-1.1252405265604,0.123006554660883,4.30877452986137e-21,1.15697777417661e-18,"C14orf132","56967"
"ENSG00000110756",996.491791403195,1.55246073401123,0.170961180595575,6.67789809177024e-21,1.76373141240181e-18,"HPS5","11234"
"ENSG00000113456",946.29754925575,0.810076356843107,0.0888018237743929,7.89871091266056e-21,2.05251825022378e-18,"RAD1","5810"
"ENSG00000250978",56.3490382595375,6.15242720801784,0.664864754543981,9.61730380014422e-21,2.45943462736704e-18,"LOC101928819","101928819"
"ENSG00000163110",1315.80262028287,1.54776999979137,0.171572969627951,1.14568534242034e-20,2.88408383620846e-18,"PDLIM5","10611"
"ENSG00000196975",4915.09684299362,1.16391067615794,0.128797582087202,1.19402429177098e-20,2.95952697918805e-18,"ANXA4","307"
"ENSG00000124766",1284.80133428659,-2.30637686613353,0.256306047607744,1.25942873715998e-20,3.07434187642189e-18,"SOX4","6659"
"ENSG00000131871",808.143320408898,0.669400191214952,0.0738656102153155,1.75511947098518e-20,4.22040743239437e-18,"SELENOS","55829"
"ENSG00000134253",137.307322500214,-1.92567924613176,0.215866299639903,2.03497119787727e-20,4.82138543661775e-18,"TRIM45","80263"
"ENSG00000157514",2207.5036286793,3.25615327437245,0.36460496657388,2.08414114359656e-20,4.86631854557743e-18,"TSC22D3","1831"
"ENSG00000174306",3239.18818518982,1.1130591548369,0.125319716209493,5.12336740480688e-20,1.17917960369777e-17,"ZHX3","23051"
"ENSG00000067369",1882.42698938185,-0.747121232705696,0.0838091824151715,5.84183016934414e-20,1.32560177265216e-17,"TP53BP1","7158"
"ENSG00000112837",2762.00197621312,-1.76424336670126,0.200012611168022,6.44264578232562e-20,1.44163147498678e-17,"TBX18","9096"
"ENSG00000151726",1461.87891976964,1.56304158739305,0.177859242646409,9.3819504364445e-20,2.0705836093364e-17,"ACSL1","2180"
"ENSG00000103485",867.302130054768,-1.18679019756783,0.136103411269952,1.90834835641997e-19,4.1547838338219e-17,"QPRT","23475"
"ENSG00000146592",671.212096620659,-1.94999924993351,0.22431467235357,1.94364935515289e-19,4.17521796811576e-17,"CREB5","9586"
"ENSG00000169738",628.130581562876,2.09395389449953,0.241224234765122,2.14730822714231e-19,4.55201090098549e-17,"DCXR","51181"
"ENSG00000128311",316.811899222327,1.2705458644704,0.146172539029642,2.3486983040437e-19,4.91426991901922e-17,"TST","7263"
"ENSG00000157214",3012.85797715233,1.93559765485102,0.223650195964438,2.80051798439397e-19,5.78450580084247e-17,"STEAP2","261729"
"ENSG00000154734",30345.8486135559,2.23448106680789,0.259552164829104,4.06299668960506e-19,8.28594172990218e-17,"ADAMTS1","9510"
"ENSG00000112773",517.994776821212,-1.16526260959336,0.135007220238165,4.4419080924305e-19,8.94544765964347e-17,"TENT5A","55603"
"ENSG00000185432",3889.59947599982,2.2639282186019,0.263628172785336,4.76015908775416e-19,9.46801519293917e-17,"TMT1A","25840"
"ENSG00000072958",2132.09145131494,1.05990677699495,0.123058768437622,5.86270645759576e-19,1.15187882607714e-16,"AP1M1","8907"
"ENSG00000118689",5171.98676728715,1.23785630541025,0.144631498522298,8.17414596990138e-19,1.58667067133833e-16,"FOXO3","2309"
"ENSG00000179593",67.2669027445166,11.002629672525,2.94807559478335,1.77634331506256e-18,3.40698418440153e-16,"ALOX15B","247"
"ENSG00000177283",115.192246559683,2.40191763820448,0.284955483758819,2.18560339369536e-18,4.14261838539128e-16,"FZD8","8325"
"ENSG00000173838",47.3940073406707,3.78054020280395,0.447013721955273,2.35117125246905e-18,4.40461861029405e-16,"MARCHF10","162333"
"ENSG00000246430",2164.70217107941,2.00593487350101,0.239136227365116,2.75541608043157e-18,5.10258718067047e-16,"LINC00968","100507632"
"ENSG00000146006",46.9483600208489,-4.02410630532474,0.471705718070218,3.18798835003456e-18,5.83655458038714e-16,"LRRTM2","26045"
"ENSG00000106976",887.017039305159,-1.71315400011273,0.20478428677598,3.37049572178057e-18,6.10135467119178e-16,"DNM1","1759"
"ENSG00000137672",656.177378093274,1.90377020165508,0.227746848026418,3.58806039387847e-18,6.42302677841956e-16,"TRPC6","7225"
"ENSG00000051108",2275.88039614929,0.727839174610162,0.086395043920143,4.45567325517161e-18,7.88850019934834e-16,"HERPUD1","9709"
"ENSG00000128923",1417.74004757835,1.00646121315561,0.120369265300422,5.15897580492655e-18,9.03437599925779e-16,"MINDY2","54629"
"ENSG00000162704",2585.11214439493,0.863653595090538,0.103187304001858,5.68278423869379e-18,9.84465987845115e-16,"ARPC5","10092"
"ENSG00000143320",1496.24964437816,-1.62997844264742,0.197719417010185,9.52780719239763e-18,1.63300533698636e-15,"CRABP2","1382"
"ENSG00000169715",554.72658513558,2.11292585348761,0.25833050097481,1.57906785596265e-17,2.67793286604361e-15,"MT1E","4493"
"ENSG00000087448",908.890738829641,1.02811107164364,0.125361642891565,1.95932583501711e-17,3.28819776332924e-15,"KLHL42","57542"
"ENSG00000150907",679.486019317388,2.22094787546006,0.273042786168084,2.14992330563021e-17,3.57086746154725e-15,"FOXO1","2308"
"ENSG00000135862",33987.1588767061,0.775543584607108,0.0953029955754059,2.37444876714039e-17,3.9035453150407e-15,"LAMC1","3915"
"ENSG00000173068",2799.79898605192,-0.857589630178494,0.104768776657313,2.60870046140728e-17,4.24533061956896e-15,"BNC2","54796"
"ENSG00000163513",13233.033798253,1.41240883733794,0.173597741967715,2.6616188714096e-17,4.288134163728e-15,"TGFBR2","7048"
"ENSG00000019995",2081.33168028605,0.894178592322091,0.109797893684275,3.62713244483302e-17,5.78581493254503e-15,"ZRANB1","54764"
"ENSG00000162426",168.799458345104,1.25697143679277,0.155548531178041,4.53587161479445e-17,7.1644536848974e-15,"SLC45A1","50651"
"ENSG00000136877",1050.91161977203,0.617600667415201,0.0756359779350235,4.96574672497675e-17,7.76729567826217e-15,"FPGS","2356"
"ENSG00000120690",1385.57486223908,0.894579378362397,0.110793016008172,6.28260536955354e-17,9.73015634412062e-15,"ELF1","1997"
"ENSG00000183722",3017.89911400742,0.672916084245594,0.0828671792280369,6.3414214892475e-17,9.73015634412062e-15,"LHFPL6","10186"
"ENSG00000145685",2022.83906876556,-1.21332983893649,0.151227208237158,7.10824185170528e-17,1.08038570257381e-14,"LHFPL2","10184"
"ENSG00000020577",3108.87818675537,1.17093941114542,0.146339124781823,9.03642803730272e-17,1.36061581410265e-14,"SAMD4A","23034"
"ENSG00000103064",781.705046527449,1.38144839280925,0.17402957956833,1.33083534552482e-16,1.98528594923615e-14,"SLC7A6","9057"
"ENSG00000100784",87.5697907553361,-2.38454923657012,0.301948753590778,1.40217564363286e-16,2.0725185132632e-14,"RPS6KA5","9252"
"ENSG00000116001",1338.25810478418,-0.499875860483436,0.0619588551413346,1.54673910616006e-16,2.26290616742617e-14,"TIA1","7072"
"ENSG00000134243",5516.90297696829,2.14989021893576,0.2732325191723,1.55907507035134e-16,2.26290616742617e-14,"SORT1","6272"
"ENSG00000152332",2979.98893504285,0.638763931172036,0.0797360597300415,1.68997218022341e-16,2.43099480317672e-14,"UHMK1","127933"
"ENSG00000187193",37.4120460290083,3.07525379324346,0.388703204065899,1.87209638689144e-16,2.66914556541664e-14,"MT1X","4501"
"ENSG00000167549",1998.20443441901,2.28997975900239,0.292199501099997,2.38867217427372e-16,3.35112745621253e-14,"CORO6","84940"
"ENSG00000099860",368.585085766132,1.41043483121694,0.179196240841433,2.39202816376663e-16,3.35112745621253e-14,"GADD45B","4616"
"ENSG00000105516",84.7925111125774,-1.61070711352718,0.205448417877748,2.44428007685596e-16,3.39481002743331e-14,"DBP","1628"
"ENSG00000104756",1781.20864362684,0.801985041581421,0.101601513907724,3.15581859126428e-16,4.34558917297939e-14,"KCTD9","54793"
"ENSG00000077254",2740.97882130592,0.865446151072435,0.110209654727791,4.01503237208629e-16,5.48188021582052e-14,"USP33","23032"
"ENSG00000198795",947.141177418876,-0.971120046927751,0.124297680745112,4.80937205537907e-16,6.51124312472372e-14,"ZNF521","25925"
"ENSG00000127824",229.265600912277,-1.49730575138148,0.192422082252651,5.12638522593584e-16,6.88259936458769e-14,"TUBA4A","7277"
"ENSG00000042286",595.374310177367,0.686854327315559,0.0874617200328944,5.53298894673502e-16,7.36710619180561e-14,"AIFM2","84883"
"ENSG00000253368",1041.3062377714,1.90387499531625,0.246515223875846,6.2638397797309e-16,8.27186251567578e-14,"TRNP1","388610"
"ENSG00000101342",42.9362334646974,4.05373662306672,0.523506260904071,6.66450413472982e-16,8.72941675728716e-14,"TLDC2","140711"
"ENSG00000130066",4103.02582448829,1.27861386937755,0.166524103975689,1.11272604913547e-15,1.44573624013077e-13,"SAT1","6303"
"ENSG00000115419",3870.65933297189,1.14764558926619,0.150092028632934,1.52154973058521e-15,1.96109501675667e-13,"GLS","2744"
"ENSG00000157152",49.9675546872647,3.44292447652212,0.451276171226639,1.64791379620952e-15,2.10710628339139e-13,"SYN2","6854"
"ENSG00000087116",4471.19670618011,0.679635354518236,0.0882513445011765,1.87597606517105e-15,2.37983073905282e-13,"ADAMTS2","9509"
"ENSG00000143891",529.642505893382,-1.08326416934824,0.142232428402378,1.89480715292884e-15,2.38494047194036e-13,"GALM","130589"
"ENSG00000233117",77.6903384324045,3.35733084025413,0.447347160752643,3.1795085468352e-15,3.97093505411333e-13,NA,NA
"ENSG00000108830",158.742226552439,-2.29204746447091,0.306731397478307,4.72731532308376e-15,5.83027584290383e-13,"RND2","8153"
"ENSG00000138316",801.69546542358,-2.33327640294284,0.31291378627639,4.74065008640309e-15,5.83027584290383e-13,"ADAMTS14","140766"
"ENSG00000157510",488.542272114556,1.63953904527289,0.220124110901474,5.71209993448802e-15,6.97179106398004e-13,"AFAP1L1","134265"
"ENSG00000119139",5036.04768030671,1.88627428502926,0.255284389446892,7.44183187240322e-15,9.01468821776604e-13,"TJP2","9414"
"ENSG00000149218",2029.52505076662,1.89566857618309,0.256122848357144,7.76619828559834e-15,9.33740452084141e-13,"ENDOD1","23052"
"ENSG00000135362",111.890414086026,1.48752739688175,0.200840471438774,8.60787793377084e-15,1.02727052882209e-12,"PRR5L","79899"
"ENSG00000114745",986.339232679517,0.535139261863631,0.0710358366683438,9.63606161118642e-15,1.14151903395459e-12,"GORASP1","64689"
"ENSG00000198431",22764.0691648872,1.49057048999735,0.202754793510848,1.05538105673051e-14,1.2364031998802e-12,"TXNRD1","7296"
"ENSG00000146250",314.669754976266,-2.64061408117833,0.360292535540384,1.05905059638425e-14,1.2364031998802e-12,"PRSS35","167681"
"ENSG00000100033",55.4039350785685,4.79074419269928,0.647276737429494,1.07106867456275e-14,1.24143794358852e-12,"PRODH","5625"
"ENSG00000013293",245.257844326637,-2.74220500486589,0.375221518949711,1.21731477746334e-14,1.40086845569371e-12,"SLC7A14","57709"
"ENSG00000138078",1202.6561175242,-0.651325721177659,0.0873529280125153,1.28829507045721e-14,1.47203701277561e-12,"PREPL","9581"
"ENSG00000136999",437.126529274733,-2.49237989999793,0.345111496843694,2.36550749092589e-14,2.68385149199345e-12,"CCN3","4856"
"ENSG00000179820",3788.95813032277,1.43474068010042,0.199053677875009,3.59137142582222e-14,4.04619475814138e-12,"MYADM","91663"
"ENSG00000176771",107.950807930374,-2.13207623303472,0.297326556426984,3.80780744848982e-14,4.2602490140708e-12,"NCKAP5","344148"
"ENSG00000155130",5667.05384362795,-1.14661741554202,0.159204491842442,4.19414724329169e-14,4.66009402487909e-12,NA,NA
"ENSG00000099337",530.509057577995,2.70342553447932,0.378030950095892,4.22303846832814e-14,4.66009402487909e-12,"KCNK6","9424"
"ENSG00000049246",196.592140847822,-2.0900895115019,0.294552058787417,5.6897879442352e-14,6.23593017480091e-12,"PER3","8863"
"ENSG00000116132",5578.58433314591,-0.746896188264359,0.104113402074933,8.02067597988161e-14,8.73115612918058e-12,"PRRX1","5396"
"ENSG00000164105",539.231810098618,1.18610399515072,0.166962741084345,8.48137621535491e-14,9.13161064980135e-12,"SAP30","8819"
"ENSG00000102804",5404.79313508362,1.15020132192024,0.161774437850165,8.50190303190493e-14,9.13161064980135e-12,"TSC22D1","8848"
"ENSG00000172831",1200.51083500465,-0.531540945907362,0.0734068377262148,8.58114084155917e-14,9.15567947671257e-12,"CES2","8824"
"ENSG00000169744",618.338215504544,-1.27700856620759,0.180650037615245,1.03562508804388e-13,1.09769446009703e-11,"LDB2","9079"
"ENSG00000170214",201.750981401242,3.54004208916476,0.504708406616232,1.15999752400684e-13,1.22148497446236e-11,"ADRA1B","147"
"ENSG00000164294",3556.90051376314,-0.540873373418862,0.0740606401353649,1.24182714611049e-13,1.29916085396014e-11,"GPX8","493869"
"ENSG00000182010",118.646799853614,-1.83600634817844,0.263052325823521,1.72553949515323e-13,1.79355914880088e-11,"RTKN2","219790"
"ENSG00000171469",604.61223423712,-0.647076212091577,0.0911778374194484,1.79593525412337e-13,1.85476364610139e-11,"ZNF561","93134"
"ENSG00000049323",20201.1757232347,0.664922235483513,0.0946658313884901,2.01248676031844e-13,2.0534920315172e-11,"LTBP1","4052"
"ENSG00000091527",4878.06391085168,0.7397014448248,0.104821208049622,2.01654880565684e-13,2.0534920315172e-11,"CDV3","55573"
"ENSG00000164291",493.181705434067,0.82135647470872,0.116765833706669,2.02659818143651e-13,2.0534920315172e-11,"ARSK","153642"
"ENSG00000003402",2549.83468101131,1.13878760204705,0.163093930744881,2.13739687728337e-13,2.15222506811953e-11,"CFLAR","8837"
"ENSG00000147119",453.728043294828,1.48899790322571,0.214035118289272,2.20066333889436e-13,2.20216689769733e-11,"CHST7","56548"
"ENSG00000185813",468.888055196636,1.07951558667542,0.15492729940762,2.40752999196867e-13,2.39430343830909e-11,"PCYT2","5833"
"ENSG00000177674",752.44697283376,1.06741660703299,0.153462141330161,2.67716904790521e-13,2.6461270264295e-11,"AGTRAP","57085"
"ENSG00000067082",3246.62929567202,1.06779848915048,0.154623972562089,3.85420599196455e-13,3.7862873619842e-11,"KLF6","1316"
"ENSG00000134318",4545.16153825015,0.782214706810585,0.112565054064483,4.00096163037836e-13,3.90663592891065e-11,"ROCK2","9475"
"ENSG00000183508",90.279921674151,-2.37809571206776,0.346132581354228,4.57767833424109e-13,4.44282985800953e-11,"TENT5C","54855"
"ENSG00000189184",6502.94968942634,-0.870975453406462,0.126463852160661,4.9948028022426e-13,4.8186387992174e-11,"PCDH18","54510"
"ENSG00000114853",3384.3133057244,0.724103972080343,0.104856087488532,5.38955289746901e-13,5.16851706732877e-11,"ZBTB47","92999"
"ENSG00000163378",1807.67571666714,1.21415207737296,0.177717558331828,5.83925765141547e-13,5.56664378828134e-11,"EOGT","285203"
"ENSG00000173221",1986.09936069109,0.955771907114613,0.139300314438965,5.92558172838439e-13,5.61570866035299e-11,"GLRX","2745"
"ENSG00000074590",413.194557248276,1.3111904365098,0.192699680214879,6.71368828141115e-13,6.32539367846872e-11,"NUAK1","9891"
"ENSG00000173517",8001.53861724852,0.957894568076094,0.140483017834494,7.95501308056821e-13,7.45134975238572e-11,"PEAK1","79834"
"ENSG00000124702",1046.60130459792,0.584868140901562,0.0846622222809924,8.10404993582919e-13,7.54707216856324e-11,"KLHDC3","116138"
"ENSG00000197321",8207.41205988828,-0.501175782619392,0.0724315410367892,9.30497501416248e-13,8.6156581869639e-11,"SVIL","6840"
"ENSG00000146373",820.12308027012,1.04695300671208,0.15439638498004,9.39036246280942e-13,8.6283635080683e-11,"RNF217","154214"
"ENSG00000182197",5302.45449795763,-0.818958349652534,0.120266172733945,9.42580831369885e-13,8.6283635080683e-11,"EXT1","2131"
"ENSG00000108960",1724.96815383825,1.57617001393643,0.23435419068654,1.03493684280837e-12,9.4202641098789e-11,"MMD","23531"
"ENSG00000168234",592.559898729131,0.742276089260731,0.108862883031676,1.05321734692289e-12,9.53280037992958e-11,"TTC39C","125488"
"ENSG00000131446",5369.99259940588,0.827641667013352,0.121999997707251,1.14307233565967e-12,1.02882896088341e-10,"MGAT1","4245"
"ENSG00000205208",589.612956400974,-1.33699881661379,0.199143536318255,1.18064820097044e-12,1.05674573143527e-10,"C4orf46","201725"
"ENSG00000128342",153.550218307891,-2.41199196792649,0.360644914700576,1.39554629339471e-12,1.24219040513161e-10,"LIF","3976"
"ENSG00000134294",20625.3026472056,1.18209766537411,0.176699465137261,1.49078189426852e-12,1.31966962080001e-10,"SLC38A2","54407"
"ENSG00000149792",684.489888547155,-0.52808897227567,0.0773373723346638,1.70843655255515e-12,1.50407766656918e-10,"MRPL49","740"
"ENSG00000143344",1080.19008871057,-1.03329814193234,0.154556203727324,1.83277078599815e-12,1.60477011593566e-10,"RGL1","23179"
"ENSG00000012048",221.650583103271,-1.16672138428976,0.175485815401159,2.0062601257305e-12,1.74718145327806e-10,"BRCA1","672"
"ENSG00000122966",289.594576423566,-1.52557816607763,0.231075651693795,2.29454068090216e-12,1.98215027108447e-10,"CIT","11113"
"ENSG00000066322",1038.33128366227,0.508174924407208,0.0748406116178674,2.30067718138412e-12,1.98215027108447e-10,"ELOVL1","64834"
"ENSG00000112576",630.218726197139,0.901932211013965,0.135512383358406,2.50279823446792e-12,2.14170537221661e-10,"CCND3","896"
"ENSG00000197301",209.602122768059,2.21407325082119,0.337108756729932,2.51245928464366e-12,2.14170537221661e-10,"HMGA2-AS1","100129940"
"ENSG00000168610",7857.57697076605,0.598763847074753,0.0889770669411412,2.60661007629808e-12,2.21026815469676e-10,"STAT3","6774"
"ENSG00000177614",133.494401941133,-2.37746111020174,0.360878813918652,2.66942400717249e-12,2.25168011411288e-10,"PGBD5","79605"
"ENSG00000107562",25196.5455384324,-1.87909071102617,0.285817004129548,2.80826577866915e-12,2.35645676875722e-10,"CXCL12","6387"
"ENSG00000164933",463.370377074773,0.819545385478424,0.123353054993883,3.0100047282199e-12,2.51265213348968e-10,"SLC25A32","81034"
"ENSG00000071282",3664.48276756859,1.5280482304124,0.232697736830423,3.07674173151887e-12,2.55512299157219e-10,"LMCD1","29995"
"ENSG00000165802",1603.92375180578,0.919498863428028,0.138913593746238,3.21179068293335e-12,2.65359793296098e-10,"NSMF","26012"
"ENSG00000185022",649.083193632915,1.24266384711382,0.188898872981251,3.2566681823305e-12,2.67694801456768e-10,"MAFF","23764"
"ENSG00000126861",310.084255907471,-1.64332080494745,0.251258685447523,3.29219032172992e-12,2.69241006463913e-10,"OMG","4974"
"ENSG00000196569",17195.8341763239,1.98378998375162,0.303244652491551,3.60414908035486e-12,2.93264877947461e-10,"LAMA2","3908"
"ENSG00000078053",359.148787547869,1.10182182806779,0.167559116581748,3.72026979031869e-12,3.01192294431279e-10,"AMPH","273"
"ENSG00000100242",2238.64909413392,1.82821949792628,0.280882833578168,4.16151492174747e-12,3.35230834521368e-10,"SUN2","25777"
"ENSG00000196932",69.015915227628,-1.99175351868294,0.305196381712263,4.25626616230019e-12,3.41157732043872e-10,"TMEM26","219623"
"ENSG00000108604",2180.85214797553,1.22337004399163,0.187131788109565,4.29163446549712e-12,3.42289717196159e-10,"SMARCD2","6603"
"ENSG00000143878",3318.74045239225,1.14868398701872,0.175598474315234,4.40242642967084e-12,3.49396513342005e-10,"RHOB","388"
"ENSG00000197860",525.29985927008,0.763150142741883,0.115750165151918,4.75228256799095e-12,3.75313845357364e-10,"SGTB","54557"
"ENSG00000105835",2643.95119860964,1.01186936363376,0.154680367617006,4.93033284721973e-12,3.86877663544944e-10,"NAMPT","10135"
"ENSG00000182199",1349.16197074789,-0.681694210946615,0.103120013717864,4.94673196513304e-12,3.86877663544944e-10,"SHMT2","6472"
"ENSG00000124151",1571.84756471968,1.33967518393697,0.206199593276653,5.25468921209274e-12,4.08977284521865e-10,"NCOA3","8202"
"ENSG00000136478",3706.26471911544,1.42143062141079,0.219820318728038,6.46923486388056e-12,5.01085783134518e-10,"TEX2","55852"
